,date,d of O18humidity,lat,lon
123,5/2/2000,0.008747411,48.15562834,15.9375
124,5/3/2000,0.008888493,48.15562834,15.9375
125,5/4/2000,0.009438613,48.15562834,15.9375
126,5/5/2000,0.009970089,48.15562834,15.9375
127,5/6/2000,0.009707014,48.15562834,15.9375
128,5/7/2000,0.009255473,48.15562834,15.9375
129,5/8/2000,0.010254796,48.15562834,15.9375
130,5/9/2000,0.009804165,48.15562834,15.9375
131,5/10/2000,0.0089749,48.15562834,15.9375
132,5/11/2000,0.010096475,48.15562834,15.9375
133,5/12/2000,0.010763373,48.15562834,15.9375
134,5/13/2000,0.009913977,48.15562834,15.9375
135,5/14/2000,0.007709268,48.15562834,15.9375
136,5/15/2000,0.007353424,48.15562834,15.9375
137,5/16/2000,0.008428399,48.15562834,15.9375
138,5/17/2000,0.008251993,48.15562834,15.9375
139,5/18/2000,0.00884199,48.15562834,15.9375
140,5/19/2000,0.008728663,48.15562834,15.9375
141,5/20/2000,0.008484419,48.15562834,15.9375
142,5/21/2000,0.006950032,48.15562834,15.9375
143,5/22/2000,0.008806712,48.15562834,15.9375
144,5/23/2000,0.007426782,48.15562834,15.9375
145,5/24/2000,0.007696806,48.15562834,15.9375
146,5/25/2000,0.007892903,48.15562834,15.9375
147,5/26/2000,0.008682767,48.15562834,15.9375
148,5/27/2000,0.009678186,48.15562834,15.9375
149,5/28/2000,0.00963185,48.15562834,15.9375
150,5/29/2000,0.009392918,48.15562834,15.9375
151,5/30/2000,0.007053718,48.15562834,15.9375
152,5/31/2000,0.009554435,48.15562834,15.9375
153,6/1/2000,0.007601282,48.15562834,15.9375
154,6/2/2000,0.00807913,48.15562834,15.9375
155,6/3/2000,0.008636693,48.15562834,15.9375
156,6/4/2000,0.009984916,48.15562834,15.9375
157,6/5/2000,0.009563916,48.15562834,15.9375
158,6/6/2000,0.008229152,48.15562834,15.9375
159,6/7/2000,0.010013412,48.15562834,15.9375
160,6/8/2000,0.00827742,48.15562834,15.9375
161,6/9/2000,0.00911527,48.15562834,15.9375
162,6/10/2000,0.010019137,48.15562834,15.9375
163,6/11/2000,0.008950928,48.15562834,15.9375
164,6/12/2000,0.008894337,48.15562834,15.9375
165,6/13/2000,0.011804165,48.15562834,15.9375
166,6/14/2000,0.012463244,48.15562834,15.9375
167,6/15/2000,0.012487526,48.15562834,15.9375
168,6/16/2000,0.009636119,48.15562834,15.9375
169,6/17/2000,0.006775523,48.15562834,15.9375
170,6/18/2000,0.007285398,48.15562834,15.9375
171,6/19/2000,0.009429524,48.15562834,15.9375
172,6/20/2000,0.00858517,48.15562834,15.9375
173,6/21/2000,0.007712051,48.15562834,15.9375
174,6/22/2000,0.008470845,48.15562834,15.9375
175,6/23/2000,0.009436193,48.15562834,15.9375
176,6/24/2000,0.010214119,48.15562834,15.9375
177,6/25/2000,0.009531971,48.15562834,15.9375
178,6/26/2000,0.008025088,48.15562834,15.9375
179,6/27/2000,0.00893618,48.15562834,15.9375
180,6/28/2000,0.010639309,48.15562834,15.9375
181,6/29/2000,0.009812438,48.15562834,15.9375
182,6/30/2000,0.009993655,48.15562834,15.9375
183,7/1/2000,0.010338488,48.15562834,15.9375
184,7/2/2000,0.011100551,48.15562834,15.9375
185,7/3/2000,0.008688948,48.15562834,15.9375
186,7/4/2000,0.009444456,48.15562834,15.9375
187,7/5/2000,0.009871524,48.15562834,15.9375
188,7/6/2000,0.010180271,48.15562834,15.9375
189,7/7/2000,0.008790317,48.15562834,15.9375
190,7/8/2000,0.010244495,48.15562834,15.9375
191,7/9/2000,0.00781365,48.15562834,15.9375
192,7/10/2000,0.009455697,48.15562834,15.9375
193,7/11/2000,0.010562464,48.15562834,15.9375
194,7/12/2000,0.008024787,48.15562834,15.9375
195,7/13/2000,0.006668201,48.15562834,15.9375
196,7/14/2000,0.008658608,48.15562834,15.9375
197,7/15/2000,0.008590107,48.15562834,15.9375
198,7/16/2000,0.006694722,48.15562834,15.9375
199,7/17/2000,0.007967742,48.15562834,15.9375
200,7/18/2000,0.008016874,48.15562834,15.9375
201,7/19/2000,0.008716709,48.15562834,15.9375
202,7/20/2000,0.008253295,48.15562834,15.9375
203,7/21/2000,0.008999517,48.15562834,15.9375
204,7/22/2000,0.009290027,48.15562834,15.9375
