"","date","d18Op","lat","lon"
"1",2000-01-01,-3.59958410263062,48.1556283354368,15.9375
"2",2000-01-02,-5.03827381134033,48.1556283354368,15.9375
"3",2000-01-03,-5.31573724746704,48.1556283354368,15.9375
"4",2000-01-04,-4.84169483184814,48.1556283354368,15.9375
"5",2000-01-05,-4.60941028594971,48.1556283354368,15.9375
"6",2000-01-06,-5.12996959686279,48.1556283354368,15.9375
"7",2000-01-07,-5.30210828781128,48.1556283354368,15.9375
"8",2000-01-08,-3.7134063243866,48.1556283354368,15.9375
"9",2000-01-09,-3.99755859375,48.1556283354368,15.9375
"10",2000-01-10,-5.17640209197998,48.1556283354368,15.9375
"11",2000-01-11,NA,48.1556283354368,15.9375
"12",2000-01-12,NA,48.1556283354368,15.9375
"13",2000-01-13,-7.5532603263855,48.1556283354368,15.9375
"14",2000-01-14,-4.65474605560303,48.1556283354368,15.9375
"15",2000-01-15,-3.63945603370667,48.1556283354368,15.9375
"16",2000-01-16,NA,48.1556283354368,15.9375
"17",2000-01-17,-4.74573421478271,48.1556283354368,15.9375
"18",2000-01-18,NA,48.1556283354368,15.9375
"19",2000-01-19,NA,48.1556283354368,15.9375
"20",2000-01-20,NA,48.1556283354368,15.9375
"21",2000-01-21,NA,48.1556283354368,15.9375
"22",2000-01-22,-10.0453863143921,48.1556283354368,15.9375
"23",2000-01-23,-12.4085826873779,48.1556283354368,15.9375
"24",2000-01-24,NA,48.1556283354368,15.9375
"25",2000-01-25,NA,48.1556283354368,15.9375
"26",2000-01-26,-3.97099828720093,48.1556283354368,15.9375
"27",2000-01-27,-4.51715230941772,48.1556283354368,15.9375
"28",2000-01-28,-3.64705324172974,48.1556283354368,15.9375
"29",2000-01-29,-2.832839012146,48.1556283354368,15.9375
"30",2000-01-30,NA,48.1556283354368,15.9375
"31",2000-01-31,-3.764315366745,48.1556283354368,15.9375
"32",2000-02-01,-5.14611053466797,48.1556283354368,15.9375
"33",2000-02-02,-2.28575491905212,48.1556283354368,15.9375
"34",2000-02-03,-2.7882969379425,48.1556283354368,15.9375
"35",2000-02-04,-2.32933688163757,48.1556283354368,15.9375
"36",2000-02-05,-0.70992648601532,48.1556283354368,15.9375
"37",2000-02-06,-2.09554481506348,48.1556283354368,15.9375
"38",2000-02-07,-2.95297312736511,48.1556283354368,15.9375
"39",2000-02-08,-1.50291216373444,48.1556283354368,15.9375
"40",2000-02-09,-2.9077479839325,48.1556283354368,15.9375
"41",2000-02-10,NA,48.1556283354368,15.9375
"42",2000-02-11,NA,48.1556283354368,15.9375
"43",2000-02-12,NA,48.1556283354368,15.9375
"44",2000-02-13,-4.72462797164917,48.1556283354368,15.9375
"45",2000-02-14,-2.81035709381104,48.1556283354368,15.9375
"46",2000-02-15,-3.37654995918274,48.1556283354368,15.9375
"47",2000-02-16,-4.36221027374268,48.1556283354368,15.9375
"48",2000-02-17,-5.46061325073242,48.1556283354368,15.9375
"49",2000-02-18,NA,48.1556283354368,15.9375
"50",2000-02-19,NA,48.1556283354368,15.9375
"51",2000-02-20,-3.5818133354187,48.1556283354368,15.9375
"52",2000-02-21,NA,48.1556283354368,15.9375
"53",2000-02-22,-5.10118007659912,48.1556283354368,15.9375
"54",2000-02-23,NA,48.1556283354368,15.9375
"55",2000-02-24,-2.71538066864014,48.1556283354368,15.9375
"56",2000-02-25,-2.24806094169617,48.1556283354368,15.9375
"57",2000-02-26,-4.77911233901978,48.1556283354368,15.9375
"58",2000-02-27,NA,48.1556283354368,15.9375
"59",2000-02-28,-2.5858211517334,48.1556283354368,15.9375
"60",2000-02-29,-1.54079449176788,48.1556283354368,15.9375
"61",2000-03-01,-3.35317349433899,48.1556283354368,15.9375
"62",2000-03-02,-8.60604190826416,48.1556283354368,15.9375
"63",2000-03-03,NA,48.1556283354368,15.9375
"64",2000-03-04,NA,48.1556283354368,15.9375
"65",2000-03-05,NA,48.1556283354368,15.9375
"66",2000-03-06,NA,48.1556283354368,15.9375
"67",2000-03-07,NA,48.1556283354368,15.9375
"68",2000-03-08,NA,48.1556283354368,15.9375
"69",2000-03-09,NA,48.1556283354368,15.9375
"70",2000-03-10,NA,48.1556283354368,15.9375
"71",2000-03-11,NA,48.1556283354368,15.9375
"72",2000-03-12,NA,48.1556283354368,15.9375
"73",2000-03-13,NA,48.1556283354368,15.9375
"74",2000-03-14,-1.93610227108002,48.1556283354368,15.9375
"75",2000-03-15,-2.33065986633301,48.1556283354368,15.9375
"76",2000-03-16,NA,48.1556283354368,15.9375
"77",2000-03-17,NA,48.1556283354368,15.9375
"78",2000-03-18,-7.28654479980469,48.1556283354368,15.9375
"79",2000-03-19,-3.40794944763184,48.1556283354368,15.9375
"80",2000-03-20,-3.82346415519714,48.1556283354368,15.9375
"81",2000-03-21,NA,48.1556283354368,15.9375
"82",2000-03-22,NA,48.1556283354368,15.9375
"83",2000-03-23,NA,48.1556283354368,15.9375
"84",2000-03-24,NA,48.1556283354368,15.9375
"85",2000-03-25,-0.756250202655792,48.1556283354368,15.9375
"86",2000-03-26,-1.90895223617554,48.1556283354368,15.9375
"87",2000-03-27,-9.38191604614258,48.1556283354368,15.9375
"88",2000-03-28,-5.55819702148438,48.1556283354368,15.9375
"89",2000-03-29,-3.92895483970642,48.1556283354368,15.9375
"90",2000-03-30,-2.60790133476257,48.1556283354368,15.9375
"91",2000-03-31,-1.45402431488037,48.1556283354368,15.9375
"92",2000-04-01,-3.10799193382263,48.1556283354368,15.9375
"93",2000-04-02,-4.38347673416138,48.1556283354368,15.9375
