"","date","wisoq18o_d","lat","lon"
"1",2000-01-01,-14.7805252075195,48.1556283354368,15.9375
"2",2000-01-02,-16.531005859375,48.1556283354368,15.9375
"3",2000-01-03,-16.6724720001221,48.1556283354368,15.9375
"4",2000-01-04,-15.9676475524902,48.1556283354368,15.9375
"5",2000-01-05,-15.1878347396851,48.1556283354368,15.9375
"6",2000-01-06,-16.0716514587402,48.1556283354368,15.9375
"7",2000-01-07,-15.6674537658691,48.1556283354368,15.9375
"8",2000-01-08,-14.6271467208862,48.1556283354368,15.9375
"9",2000-01-09,-14.7620229721069,48.1556283354368,15.9375
"10",2000-01-10,-17.39013671875,48.1556283354368,15.9375
"11",2000-01-11,-18.4499912261963,48.1556283354368,15.9375
"12",2000-01-12,-17.2872734069824,48.1556283354368,15.9375
"13",2000-01-13,-17.0164241790771,48.1556283354368,15.9375
"14",2000-01-14,-14.0700340270996,48.1556283354368,15.9375
"15",2000-01-15,-15.7753190994263,48.1556283354368,15.9375
"16",2000-01-16,-16.619800567627,48.1556283354368,15.9375
"17",2000-01-17,-15.7079019546509,48.1556283354368,15.9375
"18",2000-01-18,-15.5378379821777,48.1556283354368,15.9375
"19",2000-01-19,-15.6667051315308,48.1556283354368,15.9375
"20",2000-01-20,-14.9391946792603,48.1556283354368,15.9375
"21",2000-01-21,-13.9497604370117,48.1556283354368,15.9375
"22",2000-01-22,-16.6251831054688,48.1556283354368,15.9375
"23",2000-01-23,-18.1258697509766,48.1556283354368,15.9375
"24",2000-01-24,-19.1242752075195,48.1556283354368,15.9375
"25",2000-01-25,-17.2507438659668,48.1556283354368,15.9375
"26",2000-01-26,-15.0849514007568,48.1556283354368,15.9375
"27",2000-01-27,-14.4993495941162,48.1556283354368,15.9375
"28",2000-01-28,-14.2789649963379,48.1556283354368,15.9375
"29",2000-01-29,-13.8002262115479,48.1556283354368,15.9375
"30",2000-01-30,-14.8274631500244,48.1556283354368,15.9375
"31",2000-01-31,-16.1802673339844,48.1556283354368,15.9375
"32",2000-02-01,-15.1857528686523,48.1556283354368,15.9375
"33",2000-02-02,-13.2535219192505,48.1556283354368,15.9375
"34",2000-02-03,-17.3730430603027,48.1556283354368,15.9375
"35",2000-02-04,-13.1551733016968,48.1556283354368,15.9375
"36",2000-02-05,-13.3103227615356,48.1556283354368,15.9375
"37",2000-02-06,-13.6323728561401,48.1556283354368,15.9375
"38",2000-02-07,-12.7797956466675,48.1556283354368,15.9375
"39",2000-02-08,-12.1116209030151,48.1556283354368,15.9375
"40",2000-02-09,-13.452486038208,48.1556283354368,15.9375
"41",2000-02-10,-13.3528184890747,48.1556283354368,15.9375
"42",2000-02-11,-12.9175987243652,48.1556283354368,15.9375
"43",2000-02-12,-17.726921081543,48.1556283354368,15.9375
"44",2000-02-13,-15.3911466598511,48.1556283354368,15.9375
"45",2000-02-14,-15.4001684188843,48.1556283354368,15.9375
"46",2000-02-15,-14.1008386611938,48.1556283354368,15.9375
"47",2000-02-16,-14.2274541854858,48.1556283354368,15.9375
"48",2000-02-17,-15.7790384292603,48.1556283354368,15.9375
"49",2000-02-18,-14.6484756469727,48.1556283354368,15.9375
"50",2000-02-19,-14.1617832183838,48.1556283354368,15.9375
"51",2000-02-20,-16.2836017608643,48.1556283354368,15.9375
"52",2000-02-21,-15.6663637161255,48.1556283354368,15.9375
"53",2000-02-22,-15.5943822860718,48.1556283354368,15.9375
"54",2000-02-23,-13.4877414703369,48.1556283354368,15.9375
"55",2000-02-24,-13.6318092346191,48.1556283354368,15.9375
"56",2000-02-25,-13.3729734420776,48.1556283354368,15.9375
"57",2000-02-26,-15.4126577377319,48.1556283354368,15.9375
"58",2000-02-27,-14.4374551773071,48.1556283354368,15.9375
"59",2000-02-28,-13.74245262146,48.1556283354368,15.9375
"60",2000-02-29,-12.358699798584,48.1556283354368,15.9375
"61",2000-03-01,-13.6327724456787,48.1556283354368,15.9375
"62",2000-03-02,-16.2350635528564,48.1556283354368,15.9375
"63",2000-03-03,-13.7811441421509,48.1556283354368,15.9375
"64",2000-03-04,-11.9667625427246,48.1556283354368,15.9375
"65",2000-03-05,-16.0437049865723,48.1556283354368,15.9375
"66",2000-03-06,-13.579701423645,48.1556283354368,15.9375
"67",2000-03-07,-12.4922161102295,48.1556283354368,15.9375
"68",2000-03-08,-12.6760311126709,48.1556283354368,15.9375
"69",2000-03-09,-14.6868505477905,48.1556283354368,15.9375
"70",2000-03-10,-15.4332227706909,48.1556283354368,15.9375
"71",2000-03-11,-14.1604166030884,48.1556283354368,15.9375
"72",2000-03-12,-15.1575613021851,48.1556283354368,15.9375
"73",2000-03-13,-14.0632457733154,48.1556283354368,15.9375
"74",2000-03-14,-12.8981971740723,48.1556283354368,15.9375
"75",2000-03-15,-13.8636302947998,48.1556283354368,15.9375
"76",2000-03-16,-14.9803447723389,48.1556283354368,15.9375
"77",2000-03-17,-15.618218421936,48.1556283354368,15.9375
"78",2000-03-18,-16.7528648376465,48.1556283354368,15.9375
"79",2000-03-19,-14.7791042327881,48.1556283354368,15.9375
"80",2000-03-20,-15.8584280014038,48.1556283354368,15.9375
"81",2000-03-21,-13.8446960449219,48.1556283354368,15.9375
"82",2000-03-22,-13.303337097168,48.1556283354368,15.9375
"83",2000-03-23,-13.2199115753174,48.1556283354368,15.9375
"84",2000-03-24,-12.4243535995483,48.1556283354368,15.9375
"85",2000-03-25,-11.5582427978516,48.1556283354368,15.9375
"86",2000-03-26,-12.3165502548218,48.1556283354368,15.9375
"87",2000-03-27,-18.258659362793,48.1556283354368,15.9375
