"","date","precipitation","lat","lon"
"1",2000-01-01,-15.1225690841675,48.1556283354368,15.9375
"2",2000-01-02,-26.7361526489258,48.1556283354368,15.9375
"3",2000-01-03,-27.2423877716064,48.1556283354368,15.9375
"4",2000-01-04,-24.2877883911133,48.1556283354368,15.9375
"5",2000-01-05,-21.3473949432373,48.1556283354368,15.9375
"6",2000-01-06,-26.2801570892334,48.1556283354368,15.9375
"7",2000-01-07,-26.0907764434814,48.1556283354368,15.9375
"8",2000-01-08,-17.2931900024414,48.1556283354368,15.9375
"9",2000-01-09,-19.3113460540771,48.1556283354368,15.9375
"10",2000-01-10,-26.2907333374023,48.1556283354368,15.9375
"11",2000-01-11,NA,48.1556283354368,15.9375
"12",2000-01-12,NA,48.1556283354368,15.9375
"13",2000-01-13,-41.8246231079102,48.1556283354368,15.9375
"14",2000-01-14,-27.134428024292,48.1556283354368,15.9375
"15",2000-01-15,-15.8280792236328,48.1556283354368,15.9375
"16",2000-01-16,NA,48.1556283354368,15.9375
"17",2000-01-17,-22.1446933746338,48.1556283354368,15.9375
"18",2000-01-18,NA,48.1556283354368,15.9375
"19",2000-01-19,NA,48.1556283354368,15.9375
"20",2000-01-20,NA,48.1556283354368,15.9375
"21",2000-01-21,NA,48.1556283354368,15.9375
"22",2000-01-22,-75.1837310791016,48.1556283354368,15.9375
"23",2000-01-23,-92.2651824951172,48.1556283354368,15.9375
"24",2000-01-24,NA,48.1556283354368,15.9375
"25",2000-01-25,NA,48.1556283354368,15.9375
"26",2000-01-26,-15.4014911651611,48.1556283354368,15.9375
"27",2000-01-27,-21.4068050384521,48.1556283354368,15.9375
"28",2000-01-28,-14.5594387054443,48.1556283354368,15.9375
"29",2000-01-29,-8.09067058563232,48.1556283354368,15.9375
"30",2000-01-30,NA,48.1556283354368,15.9375
"31",2000-01-31,-21.5617370605469,48.1556283354368,15.9375
"32",2000-02-01,-27.7414569854736,48.1556283354368,15.9375
"33",2000-02-02,-8.96741962432861,48.1556283354368,15.9375
"34",2000-02-03,-10.7489852905273,48.1556283354368,15.9375
"35",2000-02-04,-5.50164699554443,48.1556283354368,15.9375
"36",2000-02-05,0.699458360671997,48.1556283354368,15.9375
"37",2000-02-06,-8.48506736755371,48.1556283354368,15.9375
"38",2000-02-07,-13.6754245758057,48.1556283354368,15.9375
"39",2000-02-08,-2.41155672073364,48.1556283354368,15.9375
"40",2000-02-09,-15.2801246643066,48.1556283354368,15.9375
"41",2000-02-10,NA,48.1556283354368,15.9375
"42",2000-02-11,NA,48.1556283354368,15.9375
"43",2000-02-12,NA,48.1556283354368,15.9375
"44",2000-02-13,-25.0228824615479,48.1556283354368,15.9375
"45",2000-02-14,-10.7265920639038,48.1556283354368,15.9375
"46",2000-02-15,-12.5660858154297,48.1556283354368,15.9375
"47",2000-02-16,-28.2335147857666,48.1556283354368,15.9375
"48",2000-02-17,-44.3722953796387,48.1556283354368,15.9375
"49",2000-02-18,NA,48.1556283354368,15.9375
"50",2000-02-19,NA,48.1556283354368,15.9375
"51",2000-02-20,-18.759090423584,48.1556283354368,15.9375
"52",2000-02-21,NA,48.1556283354368,15.9375
"53",2000-02-22,-23.0735664367676,48.1556283354368,15.9375
"54",2000-02-23,NA,48.1556283354368,15.9375
"55",2000-02-24,-10.6825485229492,48.1556283354368,15.9375
"56",2000-02-25,-13.8893156051636,48.1556283354368,15.9375
"57",2000-02-26,-36.6834297180176,48.1556283354368,15.9375
"58",2000-02-27,NA,48.1556283354368,15.9375
"59",2000-02-28,-14.7669057846069,48.1556283354368,15.9375
"60",2000-02-29,-6.15206861495972,48.1556283354368,15.9375
"61",2000-03-01,-19.2074413299561,48.1556283354368,15.9375
"62",2000-03-02,-65.4134521484375,48.1556283354368,15.9375
"63",2000-03-03,NA,48.1556283354368,15.9375
"64",2000-03-04,NA,48.1556283354368,15.9375
"65",2000-03-05,NA,48.1556283354368,15.9375
"66",2000-03-06,NA,48.1556283354368,15.9375
"67",2000-03-07,NA,48.1556283354368,15.9375
"68",2000-03-08,NA,48.1556283354368,15.9375
"69",2000-03-09,NA,48.1556283354368,15.9375
"70",2000-03-10,NA,48.1556283354368,15.9375
"71",2000-03-11,NA,48.1556283354368,15.9375
"72",2000-03-12,NA,48.1556283354368,15.9375
"73",2000-03-13,NA,48.1556283354368,15.9375
"74",2000-03-14,-8.25463962554932,48.1556283354368,15.9375
"75",2000-03-15,-10.6785383224487,48.1556283354368,15.9375
"76",2000-03-16,NA,48.1556283354368,15.9375
"77",2000-03-17,NA,48.1556283354368,15.9375
"78",2000-03-18,-50.8441963195801,48.1556283354368,15.9375
"79",2000-03-19,-19.3820781707764,48.1556283354368,15.9375
"80",2000-03-20,-22.0068340301514,48.1556283354368,15.9375
"81",2000-03-21,NA,48.1556283354368,15.9375
"82",2000-03-22,NA,48.1556283354368,15.9375
"83",2000-03-23,NA,48.1556283354368,15.9375
"84",2000-03-24,NA,48.1556283354368,15.9375
"85",2000-03-25,1.1793395280838,48.1556283354368,15.9375
"86",2000-03-26,-7.41145944595337,48.1556283354368,15.9375
"87",2000-03-27,-69.9316177368164,48.1556283354368,15.9375
"88",2000-03-28,-36.7183799743652,48.1556283354368,15.9375
"89",2000-03-29,-25.0249710083008,48.1556283354368,15.9375
"90",2000-03-30,-18.8471584320068,48.1556283354368,15.9375
"91",2000-03-31,1.01223838329315,48.1556283354368,15.9375
"92",2000-04-01,-14.0537252426147,48.1556283354368,15.9375
"93",2000-04-02,-24.5474319458008,48.1556283354368,15.9375
